Date,Clicks,Impressions,CTR,Position
2025-11-21,0,0,,
2025-11-22,0,5,0%,1.4
2025-11-23,0,9,0%,7.9
2025-11-24,2,40,5%,9.3
2025-11-25,0,57,0%,17.2
2025-11-26,1,54,1.85%,22.7
2025-11-27,1,92,1.09%,19.3
2025-11-28,1,60,1.67%,20.9
2025-11-29,0,349,0%,11
2025-11-30,1,583,0.17%,11.6
2025-12-01,5,741,0.67%,10.4
2025-12-02,1,367,0.27%,15.9
2025-12-03,1,346,0.29%,14.3
2025-12-04,1,231,0.43%,11.2
2025-12-05,0,113,0%,18.6
2025-12-06,0,110,0%,12.4
2025-12-07,2,135,1.48%,13.8
2025-12-08,1,168,0.6%,21.7
2025-12-09,2,208,0.96%,16.3
2025-12-10,1,213,0.47%,22.4
2025-12-11,1,260,0.38%,22.8
2025-12-12,0,293,0%,13.7
2025-12-13,1,207,0.48%,17.1
2025-12-14,0,222,0%,13.2
2025-12-15,2,242,0.83%,12.6
2025-12-16,1,274,0.36%,13.2
2025-12-17,3,250,1.2%,17.4
2025-12-18,2,285,0.7%,18.1
2025-12-19,2,316,0.63%,14
2025-12-20,1,285,0.35%,11.8
2025-12-21,1,237,0.42%,16.4
2025-12-22,0,253,0%,15.7
2025-12-23,0,311,0%,13.6
2025-12-24,0,256,0%,14
2025-12-25,1,280,0.36%,12.5
2025-12-26,0,325,0%,12.3
2025-12-27,0,343,0%,11
2025-12-28,0,349,0%,19.1
2025-12-29,1,121,0.83%,10.5
2025-12-30,0,2,0%,2
2025-12-31,0,10,0%,2.5
2026-01-01,0,0,,
2026-01-02,0,2,0%,194
2026-01-03,0,3,0%,64
2026-01-04,0,0,,
2026-01-05,0,0,,
2026-01-06,1,2,50%,5
2026-01-07,0,2,0%,99.5
2026-01-08,0,1,0%,178
2026-01-09,0,1,0%,9
2026-01-10,0,1,0%,63
2026-01-11,0,3,0%,8.7
2026-01-12,1,6,16.67%,20
2026-01-13,0,3,0%,45.7
2026-01-14,0,6,0%,16.8
2026-01-15,0,0,,
2026-01-16,0,1,0%,42