Country,Clicks,Impressions,CTR,Position
United States,9,6915,0.13%,12.79
India,9,83,10.84%,26.78
United Kingdom,3,213,1.41%,33.82
Spain,3,90,3.33%,16.23
Canada,2,124,1.61%,8.69
Netherlands,2,104,1.92%,25.78
Sweden,2,31,6.45%,7.87
Germany,1,252,0.4%,47.42
Italy,1,61,1.64%,15.8
Israel,1,23,4.35%,10.83
Belgium,1,13,7.69%,10.08
Morocco,1,13,7.69%,19.69
Romania,1,12,8.33%,8.67
Portugal,1,8,12.5%,7.62
Cyprus,1,3,33.33%,3.33
Brazil,0,187,0%,9.56
Poland,0,67,0%,14.22
France,0,65,0%,11.69
Japan,0,59,0%,8.07
South Korea,0,39,0%,7.59
Ukraine,0,28,0%,15.32
Mexico,0,26,0%,8.5
Turkey,0,26,0%,12.58
Norway,0,21,0%,11.81
Argentina,0,20,0%,10
Austria,0,20,0%,21
Singapore,0,19,0%,8.42
Saudi Arabia,0,19,0%,10.53
Hungary,0,17,0%,7.06
Denmark,0,17,0%,10.94
Colombia,0,17,0%,14.35
Vietnam,0,17,0%,21.65
Finland,0,14,0%,8.07
Iraq,0,14,0%,12
Pakistan,0,14,0%,14.5
Ireland,0,14,0%,40.71
Australia,0,14,0%,58.93
Lithuania,0,12,0%,7.33
United Arab Emirates,0,12,0%,10.67
Chile,0,12,0%,12.67
Greece,0,11,0%,7.82
Ecuador,0,11,0%,7.91
Philippines,0,11,0%,27.09
Jordan,0,10,0%,7.7
Qatar,0,10,0%,8.1
Venezuela,0,10,0%,8.7
Switzerland,0,10,0%,28.2
Russia,0,9,0%,11.67
Thailand,0,9,0%,25.44
Czechia,0,8,0%,9.12
Kenya,0,8,0%,10.75
Taiwan,0,8,0%,15.75
Bulgaria,0,7,0%,5.86
Egypt,0,7,0%,8
Tunisia,0,7,0%,8.86
Slovakia,0,7,0%,9.71
New Zealand,0,7,0%,10.86
Algeria,0,7,0%,13.43
Uzbekistan,0,7,0%,14
South Africa,0,7,0%,26.86
Bangladesh,0,7,0%,29
China,0,6,0%,6.5
Dominican Republic,0,6,0%,8.33
Malaysia,0,6,0%,40
Bosnia & Herzegovina,0,5,0%,5.8
Indonesia,0,5,0%,7.2
Costa Rica,0,5,0%,7.4
Peru,0,5,0%,13.8
Lebanon,0,5,0%,17.4
Montenegro,0,4,0%,4.5
Ethiopia,0,4,0%,6.25
Latvia,0,4,0%,6.25
Nigeria,0,4,0%,8
Serbia,0,4,0%,9.5
Moldova,0,4,0%,18.75
Bahrain,0,4,0%,52.25
Croatia,0,3,0%,5
Malta,0,3,0%,6
Belarus,0,3,0%,7.67
Jamaica,0,3,0%,7.67
Kazakhstan,0,3,0%,8.33
Palestine,0,3,0%,8.33
Iceland,0,3,0%,9
Barbados,0,3,0%,12
Jersey,0,2,0%,6.5
Bahamas,0,2,0%,7.5
Luxembourg,0,2,0%,8
Uruguay,0,2,0%,8
Albania,0,2,0%,8.5
Georgia,0,2,0%,9
Panama,0,2,0%,9
Yemen,0,2,0%,9
Oman,0,2,0%,9.5
Bolivia,0,2,0%,10
Senegal,0,2,0%,26.5
Guatemala,0,2,0%,29
Burkina Faso,0,2,0%,39.5
Estonia,0,2,0%,53
Hong Kong,0,2,0%,53.5
Kyrgyzstan,0,1,0%,1
Seychelles,0,1,0%,4
Benin,0,1,0%,5
Nicaragua,0,1,0%,5
El Salvador,0,1,0%,6
Syria,0,1,0%,6
Nepal,0,1,0%,7
Armenia,0,1,0%,8
Honduras,0,1,0%,10
Kuwait,0,1,0%,10
Sri Lanka,0,1,0%,11
Macedonia,0,1,0%,11
Paraguay,0,1,0%,26
Azerbaijan,0,1,0%,78
Kosovo,0,1,0%,86