Top pages,Clicks,Impressions,CTR,Position
https://thewcag.com/examples/accessible-input-fields,5,100,5%,10.62
https://thewcag.com/lawsuits/darnell-williams-v-rowing-blazers-2025,5,27,18.52%,5.48
https://thewcag.com/examples/tables,4,89,4.49%,8.02
https://thewcag.com/lawsuits/darnell-williams-v-pete-and-pedro-2025,3,31,9.68%,7.65
https://thewcag.com/examples/pagination,3,28,10.71%,7.36
https://thewcag.com/lawsuits/french-retailers-eaa-2025,2,119,1.68%,6.53
https://thewcag.com/,2,77,2.6%,64.95
https://thewcag.com/checklist,1,141,0.71%,83.47
https://thewcag.com/criteria/2.5.7,1,114,0.88%,9.32
https://thewcag.com/lawsuits/malone-v-disney-das-policy-2024,1,76,1.32%,10.91
https://thewcag.com/criteria/3.1.4,1,43,2.33%,7.33
https://thewcag.com/examples/dropdowns-selects,1,40,2.5%,12.93
https://thewcag.com/criteria/1.3.5,1,36,2.78%,9
https://thewcag.com/examples/cards,1,30,3.33%,10.4
https://thewcag.com/tools/convert/text-to-html,1,13,7.69%,83.23
https://thewcag.com/lawsuits/constance-henry-v-mountain-hardwear-2025,1,7,14.29%,4.71
https://www.thewcag.com/blog/why-is-accessibility-being-delinked-from-disability,1,5,20%,29.4
http://thewcag.com/,1,3,33.33%,1.67
https://thewcag.com/blog/is-accessibility-work-safe-from-ai-in-the-near-future,1,3,33.33%,9
https://thewcag.com/lawsuits/april-2025-accessibility-litigation-continued,1,2,50%,6
https://thewcag.com/myths,1,2,50%,8
https://thewcag.com/criteria/3.3.1,0,2135,0%,7.73
https://thewcag.com/criteria/1.4.1,0,701,0%,9.74
https://thewcag.com/criteria/2.4.13,0,460,0%,9
https://thewcag.com/criteria/2.4.3,0,417,0%,7.84
https://www.thewcag.com/criteria/2.5.8,0,392,0%,10.25
https://thewcag.com/criteria/3.3.3,0,349,0%,9.41
https://thewcag.com/criteria/1.2.2,0,324,0%,9.11
https://thewcag.com/criteria/1.4.11,0,294,0%,11.49
https://thewcag.com/criteria/2.4.1,0,248,0%,9.47
https://thewcag.com/criteria/3.3.6,0,225,0%,6.57
https://thewcag.com/criteria/3.2.3,0,213,0%,8.22
https://thewcag.com/criteria/1.4.8,0,180,0%,8.62
https://thewcag.com/criteria/1.4.5,0,132,0%,9.43
https://thewcag.com/wcag-3-0,0,130,0%,15.62
https://thewcag.com/criteria/1.2.1,0,128,0%,8.47
https://www.thewcag.com/resources,0,122,0%,73.93
https://thewcag.com/criteria/2.4.9,0,93,0%,9.8
https://thewcag.com/criteria/2.2.2,0,85,0%,9.69
https://thewcag.com/accessibility-audit-guide,0,83,0%,76.47
https://www.thewcag.com/checklist,0,79,0%,82.68
https://thewcag.com/criteria/3.2.2,0,66,0%,9.21
https://thewcag.com/examples/modals-dialogs,0,60,0%,10.72
https://thewcag.com/tools,0,59,0%,72.86
https://thewcag.com/criteria/1.2.6,0,54,0%,8.09
https://thewcag.com/services/accessibility-remediation,0,53,0%,49.55
https://thewcag.com/examples/progress-indicators,0,50,0%,9.16
https://thewcag.com/criteria/3.1.1,0,48,0%,9.54
https://thewcag.com/examples,0,46,0%,58.54
https://thewcag.com/criteria/2.4.8,0,45,0%,7.27
https://thewcag.com/examples/accordions,0,44,0%,8.68
https://thewcag.com/criteria/2.2.1,0,43,0%,12.67
https://thewcag.com/criteria/1.4.6,0,42,0%,10.86
https://thewcag.com/mobile-accessibility,0,39,0%,9.31
https://thewcag.com/criteria/2.4.12,0,39,0%,10.54
https://thewcag.com/examples/navigation,0,38,0%,7.92
https://thewcag.com/testing-guide,0,35,0%,71.2
https://thewcag.com/examples/forms,0,32,0%,10
https://thewcag.com/accessibility-statement-template,0,30,0%,54.97
https://thewcag.com/criteria/2.1.4,0,24,0%,15.04
https://thewcag.com/examples/buttons-links,0,23,0%,21.26
https://thewcag.com/lawsuits/vueling-airlines-spain-2024,0,22,0%,6.27
https://thewcag.com/lawsuits/doj-v-uber-disability-discrimination-2025,0,20,0%,16.2
https://thewcag.com/criteria/2.4.6,0,19,0%,19.53
https://thewcag.com/lawsuits/tanisia-bowman-v-kiyonna-clothing-2025,0,18,0%,3.94
https://thewcag.com/lawsuits/wright-turner-v-hammersmith-2024,0,15,0%,8.07
https://thewcag.com/criteria/2.2.6,0,15,0%,11.8
https://www.thewcag.com/principles/operable,0,15,0%,21.33
https://thewcag.com/lawsuits/holger-fiallo-jessica-meyer-v-renegade-furniture-group-2025,0,14,0%,5
https://thewcag.com/lawsuits/robert-glen-myers-v-lodge-of-four-seasons-2025,0,13,0%,5.46
https://thewcag.com/criteria/3.2.5,0,13,0%,8.46
https://www.thewcag.com/criteria/3.3.6,0,13,0%,10.08
https://www.thewcag.com/criteria/2.5.7,0,13,0%,15.15
https://thewcag.com/lawsuits/james-murphy-v-low-tech-toy-club-2025,0,12,0%,10
https://thewcag.com/criteria/4.1.1,0,12,0%,11.25
https://thewcag.com/examples/tooltips,0,12,0%,17
https://thewcag.com/tools/edit/image-inpainting,0,11,0%,96.45
https://thewcag.com/criteria/3.3.5,0,10,0%,8.9
https://thewcag.com/criteria/3.1.3,0,10,0%,12
https://thewcag.com/lawsuits/ftc-v-accessibe-2025,0,9,0%,15.44
https://thewcag.com/principles/operable,0,9,0%,27.67
https://thewcag.com/tools/edit/image-anonymizer,0,9,0%,71.89
https://thewcag.com/glossary,0,8,0%,8.12
https://thewcag.com/examples/lists,0,8,0%,22.5
https://thewcag.com/lawsuits/doj-v-allen-county-in-2005,0,7,0%,3.71
https://thewcag.com/lawsuits/doj-v-city-of-suffolk-va-2004,0,7,0%,4
https://thewcag.com/principles/perceivable,0,7,0%,5
https://thewcag.com/lawsuits/us-v-flint-neurological-centre-2022,0,7,0%,8.86
https://thewcag.com/lawsuits/eeoc-v-walmart-maryann-t,0,7,0%,30.57
https://thewcag.com/overview,0,6,0%,7.5
https://thewcag.com/principles/robust,0,6,0%,13.83
https://thewcag.com/lawsuits/phyllis-hampton-v-malnati-organization-2025,0,5,0%,3.2
https://www.thewcag.com/,0,5,0%,5
https://thewcag.com/lawsuits/alexandria-v-panama-jack-2023,0,5,0%,6
https://thewcag.com/accessibility,0,5,0%,43.2
https://thewcag.com/lawsuits/ally-financial-website-accessibility-2022,0,4,0%,2.75
https://thewcag.com/lawsuits/doj-v-amarillo-tx-2005,0,4,0%,4.25
https://thewcag.com/lawsuits/provo-v-wright-county-2025,0,4,0%,4.5
https://thewcag.com/lawsuits/brown-v-bank-of-america-2000,0,4,0%,7.5
https://thewcag.com/lawsuits/us-v-medstar-health-2024,0,4,0%,7.75
https://thewcag.com/criteria/2.4.2,0,4,0%,11
https://thewcag.com/learn,0,4,0%,50.25
https://www.thewcag.com/contact,0,4,0%,113
https://thewcag.com/lawsuits/nfb-v-greyhound-2017,0,3,0%,3
https://thewcag.com/lawsuits/march-2025-stein-saks-litigation-wave,0,3,0%,5
https://thewcag.com/lawsuits/doj-v-vail-recreation-district-2004,0,3,0%,7
https://thewcag.com/lawsuits/doj-v-city-of-bend-or-2004,0,3,0%,8
https://thewcag.com/blog,0,3,0%,45
https://thewcag.com/lawsuits/blue-apron-accessibility-lawsuit,0,2,0%,4
https://thewcag.com/lawsuits/morgan-stanley-website-accessibility-2022,0,2,0%,7
https://www.thewcag.com/blog,0,2,0%,9
https://thewcag.com/terms,0,2,0%,16.5
https://thewcag.com/lawsuits/raturi-v-union-of-india-2005,0,2,0%,29
https://thewcag.com/tools/convert/html-to-markdown,0,2,0%,86.5
https://thewcag.com/lawsuits/june-2025-accessibility-litigation-mid-year,0,1,0%,1
https://thewcag.com/services/ios-app-development,0,1,0%,2
https://thewcag.com/getting-started,0,1,0%,4
https://thewcag.com/how-to-make-website-accessible,0,1,0%,5
https://thewcag.com/privacy,0,1,0%,5
https://thewcag.com/lawsuits/bay-state-council-v-fleet-bank-2001,0,1,0%,8
https://thewcag.com/lawsuits/doj-v-city-of-green-bay-wi-2004,0,1,0%,8
https://thewcag.com/lawsuits/eeoc-v-mclane-northeast-2024,0,1,0%,11
https://thewcag.com/tools/convert/image-to-pdf,0,1,0%,11
https://thewcag.com/lawsuits/target-website-accessibility-2023,0,1,0%,41
https://thewcag.com/compliance,0,1,0%,102